SectionID,SID,First,Last,ALG01,ALG02,ELA06,ELA07,ELA08,ELA09,ELA10,ELA11,English  --  English (6)  --  Regular,English  --  English (7)  --  Honors,English  --  English (7)  --  Regular,English  --  English (8)  --  Honors,English  --  English (8)  --  Regular,English  --  English 1 (9)  --  Honors,English  --  English 1 (9)  --  PC,English  --  English 1 (9)  --  Regular,English  --  English 2 (10)  --  Honors,English  --  English 2 (10)  --  Regular,English  --  English 3 (11)  --  AP,English  --  English 3 (11)  --  Honors,English  --  English 3 (11)  --  Regular,GEO01,MAT06,MAT07,MAT08,Math  --  6th Grade Mathematics  --  RC,Math  --  6th Grade Mathematics  --  Regular,Math  --  7th Grade Mathematics  --  RC,Math  --  7th Grade Mathematics  --  Regular,Math  --  8th Grade Mathematics  --  Regular,Math  --  Accelerated Math  --  Honors,Math  --  Algebra 1  --  Concepts,Math  --  Algebra 1  --  Honors,Math  --  Algebra 1  --  PC,Math  --  Algebra 1  --  Regular,Math  --  Algebra 2  --  Concepts,Math  --  Algebra 2  --  Honors,Math  --  Algebra 2  --  Regular,Math  --  AP CALC AB  --  AP,Math  --  AP CALC BC  --  AP,Math  --  AP Statistics  --  AP,Math  --  Geometry  --  Concepts,Math  --  Geometry  --  Honors,Math  --  Geometry  --  PC,Math  --  Geometry  --  Regular,Math  --  Math Analysis  --  Honors,Math  --  Math Analysis  --  Regular,Max Abs 2011,Max Abs 2012,Max Abs 2013,Max Abs 2014,Max Abs 2015,Max Abs 2016,NJASK 8,NJBCT,PSATLAL,PSATMATH,Science  --  6th Grade Science  --  Regular,Science  --  7th Grade Science  --  Regular,Science  --  8th Grade Science  --  Honors,Science  --  8th Grade Science  --  Regular,Science  --  AP Biology  --  AP,Science  --  AP Chemistry  --  AP,Science  --  AP Environmental Science  --  AP,Science  --  AP Physics 1  --  AP,Science  --  AP Physics 2  --  AP,Science  --  Biology  --  Concepts,Science  --  Biology  --  Honors,Science  --  Biology  --  PC,Science  --  Biology  --  Regular,Science  --  Chemistry  --  Concepts,Science  --  Chemistry  --  Honors,Science  --  Chemistry  --  Regular,Science  --  Physics  --  Concepts,Science  --  Physics  --  Honors,Science  --  Physics  --  Regular
2,636767,Ora,Bennett,786,793,NA,805,797,812,NA,NA,94.75,95,NA,96.5,NA,95.5,NA,NA,NA,NA,NA,NA,NA,786,NA,NA,NA,NA,NA,NA,NA,NA,93.5,NA,91.5,NA,NA,NA,97,NA,NA,NA,NA,NA,94.25,NA,NA,NA,NA,NA,NA,0,1,0,3,251,245,590,630,97.5,97.5,93.75,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,NA,NA
2,299372,Monica,Harper,776,778,NA,811,785,799,NA,NA,90,NA,93.5,93,NA,91.7,NA,NA,NA,NA,NA,NA,NA,772,NA,NA,NA,NA,NA,NA,NA,NA,89.5,NA,83.25,NA,NA,NA,81.5,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,10,1,1,8,285,300,590,540,97.25,94.75,87.75,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA
2,530320,Clara,Taylor,751,NA,NA,NA,NA,754,755,NA,NA,NA,81.25,NA,79.25,NA,NA,81,NA,90,NA,NA,NA,744,NA,NA,750,NA,NA,NA,84.5,83.75,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.1,NA,NA,NA,0,18,2,13,15,233,210,450,460,NA,88,NA,70.25,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,83.67,NA,NA,NA
3,156320,Lonnie,Hampton,754,745,NA,NA,NA,773,776,NA,NA,NA,NA,NA,NA,81,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,NA,76.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,NA,283,690,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,76.7,NA,NA,NA,NA
3,705022,Ethel,Peterson,770,NA,748,744,750,NA,NA,NA,87.25,NA,82,NA,83.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,764,755,NA,NA,92,NA,NA,NA,86,NA,84.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,251,NA,NA,NA,90.75,92.25,NA,86.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,676651,Travis,Butler,NA,763,NA,NA,777,787,775,NA,NA,NA,93,92.75,NA,91,NA,NA,92,NA,NA,NA,NA,764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.25,NA,NA,NA,87.5,NA,NA,NA,NA,NA,84.5,NA,NA,90.7,NA,NA,0,7,1,3,5,282,255,580,620,95.5,97.75,90.25,NA,NA,NA,NA,NA,NA,NA,85.5,NA,NA,NA,85.67,NA,NA,NA,NA
3,913703,Phillip,Stewart,808,NA,NA,818,811,798,NA,NA,93,NA,95.25,93.25,NA,90.5,NA,NA,NA,NA,NA,NA,NA,773,NA,787,NA,NA,92.25,NA,NA,NA,97,NA,96.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.29,NA,NA,NA,NA,NA,NA,3,1,1,6,271,285,610,570,92.75,96.75,92.5,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA
3,312246,Violet,Rowe,742,720,NA,NA,NA,738,NA,726,NA,NA,NA,NA,NA,NA,NA,75,NA,81,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.07,79,NA,NA,NA,NA,NA,NA,NA,NA,62.73,NA,NA,NA,NA,NA,9,7,9,NA,243,540,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,71,81,NA,NA
3,286293,Salvatore,Howell,NA,NA,756,738,759,NA,NA,NA,73.75,NA,60.5,NA,67.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,748,742,760,NA,79.25,NA,73,77.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,6,254,NA,NA,NA,84.75,83.25,NA,63.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,811249,Roberto,Wise,NA,759,NA,NA,NA,781,797,795,NA,NA,NA,NA,NA,85,NA,NA,84,NA,NA,85,NA,740,NA,NA,NA,NA,NA,NA,NA,NA,100.7,NA,97,NA,NA,NA,NA,92.708,NA,NA,NA,NA,85,NA,NA,NA,95,NA,4,0,3,3,8,NA,233,550,550,NA,99.7,92.75,NA,NA,NA,NA,NA,NA,NA,77.35,NA,NA,NA,NA,90,NA,81,NA
